id,name,query,category,summary,why,desc,tags,price,hours,duration,bestTime,address,lng,lat,zoom,country,basemap,cover,region,nameEn,tagline
__city__,釜山,,,坐标为 WGS-84（由 scripts/geocode.py 经 OpenStreetMap Nominatim 查得）。韩国这边高德没有地图数据，默认用 OSM 底图。营业时间、票价一类信息会变，出门前请再确认。,,,,,,,,,129.075642,35.179554,12,kr,osm,🌊,釜山广域市,Busan,山、海、市场，一座斜着长在坡上的港口城市
kr-busan-sight-001,海云台海水浴场,해운대해수욕장,sight,韩国最有名的那片沙滩,夏天挤得下不去脚，反而是十月到四月最好——沙滩空着，背后一排高楼亮灯，海风也不冷。,1.5 公里长的白沙滩，背后是酒店和高层公寓群。地铁 2 号线海云台站步行十分钟。,"海滩,夏天人多,地铁直达",,,1.5h,傍晚,海云台区海云台海边路,,,,,,,,,
kr-busan-sight-002,甘川文化村,감천문화마을,sight,贴在山坡上的彩色房子,釜山的明信片。原本是战争难民聚居的贫民区，刷成彩色之后成了地标——但巷子里仍住着人，别乱推门。,沿山势层层叠叠的聚落，有小王子雕像等打卡点和不少手作店。从釜山站坐公交上山，下山可走楼梯。,"彩色房子,山坡,请安静",,,2h,下午,沙下区甘内 2 路 203,,,,,,,,,
kr-busan-sight-003,海东龙宫寺,해동용궁사,sight,建在海边礁石上的寺庙,韩国寺庙大多在山里，这座直接坐在海崖上，浪打在殿脚下。清晨去人少，日出更是绝景。,始建于 1376 年，现存建筑为近代重建。从海云台方向坐公交约 40 分钟，入口有一段 108 级台阶。,"海边寺庙,免费,要走台阶",,,1.5h,清晨,机张郡机张邑龙宫路 86,,,,,,,,,
kr-busan-sight-004,太宗台,태종대,sight,影岛南端的海崖公园,灯塔、悬崖、松林和一圈海。园区很大，坐小火车（Danubi）绕一圈最省力，走路要两小时。,影岛最南端的岬角，因新罗太宗武烈王曾在此射箭得名。天气好时能看到对马岛。,"海崖,灯塔,有游园小火车",,,2.5h,,影岛区展望路 24,,,,,,,,,
kr-busan-sight-005,白浅滩文化村,흰여울문화마을,sight,影岛悬崖边的白色村子,比甘川安静得多，一条窄路沿着崖顶走，左边是白房子右边是海。《辩护人》就在这儿取过景。,沿海岸崖壁而建的聚落，有咖啡馆和观景台，可以从这里走下去到绝影海岸散步路。,"海景,人少,适合散步",,,1.5h,下午,影岛区绝影路,,,,,,,,,
kr-busan-night-001,广安里海水浴场,광안리해수욕장,night,看广安大桥亮灯的最佳位置,沙滩正对着广安大桥，晚上桥体灯光加海浪声，沿岸全是酒吧和咖啡馆。比海云台年轻、更放松。,釜山第二大海滩，背后是密集的餐饮街。每年十月的釜山烟花节主会场就在这里。,"夜景,大桥灯光,酒吧多",,,,晚上,水营区广安海边路,,,,,,,,,
kr-busan-food-001,札嘎其市场,자갈치시장,food,韩国最大的海鲜市场,一楼挑海鲜、二楼加工，价格现问现砍。烤鳗鱼和活章鱼是这儿的日常，胆子小的可以从烤鱼开始。,南浦洞海边的老市场，名字来自这一带原本的鹅卵石滩。周围还有国际市场和 BIFF 广场。,"海鲜,现挑现做,可议价",人均 2~4 万韩元,,1.5h,,中区札嘎其海岸路 52,,,,,,,,,
kr-busan-food-002,国际市场,국제시장,food,战后撑起釜山的那个市场,《国际市场》那部电影就拍它。吃的集中在 BIFF 广场一带，糖饼（씨앗호떡）夹坚果是釜山限定版。,朝鲜战争后由难民摆摊形成，如今卖杂货、衣服和小吃。和札嘎其市场走路可达。,"小吃,糖饼,挨着札嘎其",人均 1 万韩元上下,,1.5h,,中区新昌洞,,,,,,,,,
kr-busan-cafe-001,田浦咖啡街,전포동 부산,cafe,旧五金店街变成的咖啡街区,纽约时报点过名的地方。一条街几十家风格各异的咖啡馆，从烘焙硬核派到布置精致的都有。,西面地铁站附近，原是机械工具店聚集的街道，现在是釜山咖啡文化的中心。,"咖啡,街区,挨着西面",人均 6 千~1 万韩元,,2h,下午,釜山镇区田浦洞,,,,,,,,,
kr-busan-museum-001,釜山博物馆,부산박물관,museum,从伽倻讲到近代开港的城市史,免费。釜山是朝鲜半岛最早开港的城市之一，这段近代史在别处看不到这么完整。,在大渊洞，紧邻联合国纪念公园。常设展免费，周一闭馆。,"免费,周一闭馆,近代史",,,1.5h,,南区 UN 平和路 63,,,,,,,,,
kr-busan-park-001,五六岛天空步道,오륙도스카이워크,park,悬在海上的玻璃栈道,站在玻璃地板上，脚下就是撞礁的浪。这里也是韩国东海与南海的分界点，视野很开阔。,建在僧头岬的悬崖上，进场免费需换鞋套。旁边是海岸绝景步道「海云台绿道」的起点。,"玻璃栈道,免费,风大",,,1h,,南区五六岛路 137,,,,,,,,,
kr-busan-shop-001,西面,서면,shop,釜山最热闹的商圈,百货、地下街、餐厅和夜店堆在一个地铁枢纽上。想一次把购物和吃饭解决就来这儿。,地铁 1、2 号线换乘站，周边有乐天百货、西面市场和田浦咖啡街。,"商圈,地铁枢纽,通宵",,,2h,傍晚,釜山镇区西面路,,,,,,,,,
