id,name,query,category,summary,why,desc,tags,price,hours,duration,bestTime,address,lng,lat,zoom,cover,region,nameEn,tagline
__city__,成都,,,坐标为 WGS-84（由 scripts/geocode.py 经 OpenStreetMap Nominatim 查得）；显示高德底图时由前端实时转成 GCJ-02。营业时间、票价一类信息会变，出门前请再确认。,,,,,,,,,104.063299,30.659841,12,🐼,四川,Chengdu,火锅、茶馆，和一整天不着急的理由
cd-sight-001,宽窄巷子,宽窄巷子 成都,sight,清代兵丁胡同改成的三条老巷,第一次来成都绕不开的地方。早上八点前几乎没人，青砖墙的光也最好，比白天挤进去舒服得多。,宽巷子、窄巷子、井巷子三条平行的老街，青砖院墙和茶馆挨着排。商业化程度很高，但建筑本身是真的老。,"老街,人多,适合拍照",,,1.5h,清晨或傍晚,青羊区金河路口,,,,,,,
cd-sight-002,锦里古街,锦里 成都,sight,挨着武侯祠的仿古商业街,和武侯祠连着逛最省事。晚上红灯笼亮起来比白天好看，白天基本是人挤人。,三国主题的仿古街，小吃、手作、盖碗茶都有。建筑是新的，气氛做得足。,"夜景,小吃,免费",,,1h,晚上,武侯区武侯祠大街,,,,,,,
cd-sight-003,武侯祠,武侯祠 成都,sight,中国唯一的君臣合祀祠庙,刘备和诸葛亮埋在一处，三国迷来了会站很久。红墙夹道那段是全成都最好拍的一条路。,始建于蜀汉，现存建筑多为清代重建。惠陵、汉昭烈庙、武侯祠三部分连在一起，西侧就是锦里。,"三国,需购票,红墙",,,1.5h,,武侯区武侯祠大街 231 号,,,,,,,
cd-sight-004,杜甫草堂,杜甫草堂 成都,sight,杜甫流寓成都时的居所旧址,全国最完整的杜甫行迹遗址。竹林和水系很舒服，是市区里难得能安静走一小时的地方。,杜甫在成都住了近四年，写下二百多首诗。现在的园子是历代重修的，茅屋故居按诗中描述复原。,"园林,需购票,安静",,,1.5h,,青羊区青华路 37 号,,,,,,,
cd-sight-005,青羊宫,青羊宫 成都,sight,川西第一道观,香火气和市井气掺在一起，旁边就是文化公园，本地老人下棋喝茶的地方。,始建于周代，现存建筑为清代。八卦亭和三清殿是看点，殿前那对铜羊常被摸得发亮。,"道观,清静",,,1h,,青羊区一环路西二段 9 号,,,,,,,
cd-sight-006,成都大熊猫繁育研究基地,成都大熊猫繁育研究基地,sight,看熊猫最靠谱的地方,熊猫早上活跃，九点以后基本就睡了。想看动的熊猫必须早去，这点没有捷径。,在市区北郊，园区很大，建议先坐观光车到最里面的月亮产房再一路走回来。,"熊猫,需购票,越早越好",,,3h,开园就去,成华区熊猫大道 1375 号,,,,,,,
cd-sight-007,东郊记忆,东郊记忆 成都,sight,老电子厂房改的文创园区,红砖厂房配大烟囱，和成都别处完全不是一个画风。晚上有演出和展，随便逛也不亏。,前身是国营红光电子管厂，苏式厂房保留得很完整，现在是展览、livehouse、咖啡店混在一起的园区。,"工业风,免费,适合拍照",,,2h,下午到晚上,成华区建设南支路 4 号,,,,,,,
cd-museum-001,四川博物院,四川博物院,museum,四川馆藏最全的博物馆,张大千的画和巴蜀青铜是招牌。免费，就在杜甫草堂对面，两个可以连着看。,常设展包括巴蜀青铜、汉代陶石、藏传佛教文物、张大千书画等。周一闭馆。,"免费,周一闭馆",,,2h,,青羊区浣花南路 251 号,,,,,,,
cd-museum-002,成都博物馆,成都博物馆,museum,讲这座城市本身的博物馆,想知道成都为什么是今天这个样子，来这里比去任何景点都快。皮影戏专题是意外之喜。,就在天府广场西侧，从古蜀讲到近代，动线清楚。免费但要预约，周一闭馆。,"免费,需预约,周一闭馆",,,2.5h,,青羊区小河街 1 号,,,,,,,
cd-museum-003,金沙遗址博物馆,金沙遗址博物馆 成都,museum,太阳神鸟出土的地方,三千年前的古蜀国就埋在市区这块地底下。太阳神鸟金饰本尊就在这儿，比图片小得多也精致得多。,2001 年施工时偶然发现的商周遗址。遗迹馆保留了发掘现场，陈列馆放出土文物。,"考古现场,需购票",,,2.5h,,青羊区金沙遗址路 2 号,,,,,,,
cd-museum-004,永陵博物馆,永陵博物馆 成都,museum,地面上的皇帝墓，能走进去,前蜀皇帝王建的陵墓，棺床上那圈二十四伎乐石刻是唐代音乐最直接的实物证据。人少，安静。,中国唯一一座建在地面上的帝陵。墓室可以走进去看，规模不大但很值。,"冷门,需购票,人少",,,1h,,金牛区永陵路 10 号,,,,,,,
