id,name,query,category,summary,why,desc,tags,price,hours,duration,bestTime,address,lng,lat,zoom,country,basemap,cover,region,nameEn,tagline
__city__,首尔,,,坐标为 WGS-84（由 scripts/geocode.py 经 OpenStreetMap Nominatim 查得）。韩国这边高德没有地图数据，默认用 OSM 底图。营业时间、票价一类信息会变，出门前请再确认。,,,,,,,,,126.977952,37.566535,13,kr,osm,🗼,首尔特别市,Seoul,王宫、深夜的烤肉，和永远在施工的年轻街区
kr-seoul-sight-001,景福宫,경복궁,sight,朝鲜王朝的正宫，首尔的起点,穿韩服进去免门票，这条规矩让整个宫区常年是彩色的。守门将换岗仪式一天两次，站在光化门前就能看。,1395 年建的朝鲜第一座正宫，壬辰倭乱和日据时期两度被毁，现在的建筑多为复原。后面接着青瓦台，往东是昌德宫。,"王宫,穿韩服免票,换岗仪式",,,2h,上午,钟路区社稷路 161,,,,,,,,,
kr-seoul-sight-002,昌德宫,창덕궁,sight,五大宫里保存最完整的一座,后苑（秘苑）要单独预约、跟着讲解走，是首尔最好的一片古典园林。想避开景福宫的人潮就来这儿。,1405 年建，世界文化遗产。顺着山势建，不像景福宫那样中轴对称，后苑保留了朝鲜王室的园林原貌。,"世界遗产,后苑需预约,人比景福宫少",,,2h,,钟路区栗谷路 99,,,,,,,,,
kr-seoul-sight-003,北村韩屋村,북촌한옥마을,sight,住人的韩屋巷子，不是景区,夹在景福宫和昌德宫之间的高地，屋顶起伏的坡道是首尔最好的取景处。但这里真的住着人，早晚请安静。,六百多栋传统韩屋，很多还是私宅，也有工房和茶室。最有名的视角在北村八景的第五、六景那段坡道。,"韩屋,坡道,请安静",,,1.5h,上午,钟路区桂洞路,,,,,,,,,
kr-seoul-sight-004,南山首尔塔,남산서울타워,sight,俯瞰首尔全城的那座塔,天黑前半小时上去，能一次看到白天和夜景两种首尔。缆车常排队，走南山环路上去也就四十分钟。,塔高 236 米，立在南山顶上。山腰有循环巴士和缆车，观景台要另外买票。,"夜景,要排队,可徒步上山",,,2h,日落前后,龙山区南山公园路 105,,,,,,,,,
kr-seoul-sight-005,东大门设计广场 DDP,동대문디자인플라자,sight,扎哈·哈迪德留在首尔的银色飞船,白天看建筑曲面，晚上看 LED 玫瑰花海。旁边就是通宵营业的东大门批发市场，夜猫子的一条龙。,2014 年落成的地标建筑，内有展馆、设计店和公园。外立面由四万多块铝板拼成，没有一块形状相同。,"建筑,免费外观,夜景",,,1.5h,晚上,中区乙支路 281,,,,,,,,,
kr-seoul-museum-001,国立中央博物馆,국립중앙박물관,museum,韩国馆藏最全的博物馆,常设展免费，三层的佛像和高丽青瓷值得专门跑一趟。馆前的镜池把南山塔框在里面，是隐藏机位。,亚洲规模最大的博物馆之一，从旧石器讲到朝鲜王朝。周一闭馆，特展另收费。,"免费,周一闭馆,馆藏大",,,3h,,龙山区西冰库路 137,,,,,,,,,
kr-seoul-museum-002,战争纪念馆,전쟁기념관,museum,讲朝鲜战争的那座馆,免费，室外摆着飞机坦克，室内的叙事很完整。理解半岛现在这个局面，从这里开始比从新闻开始快。,1994 年开馆，展区从古代战争一直到朝鲜战争与派兵海外。室外展场可以随便逛。,"免费,户外装备展,周一闭馆",,,2h,,龙山区梨泰院路 29,,,,,,,,,
kr-seoul-food-001,广藏市场,광장시장,food,首尔最老的常设市场，也是小吃战场,绿豆煎饼、生拌牛肉、刀切面挤在一条棚子底下，站着吃、拼桌吃。别在第一个摊位就停下，往里走。,1905 年开市，白天是布料市场，吃的集中在中段。多数摊位现金和卡都收，人均不高。,"小吃,人多,现做现吃",人均 1~2 万韩元,,1h,中午到傍晚,钟路区昌庆宫路 88,,,,,,,,,
kr-seoul-food-002,土俗村参鸡汤,토속촌삼계탕,food,景福宫旁的参鸡汤老店,逛完景福宫走五分钟就到。整只童子鸡塞糯米和人参，汤是奶白的，夏天韩国人反而更爱喝。,开在韩屋里的老字号，常年排队。点乌鸡参鸡汤要加钱，普通的就够了。,"参鸡汤,要排队,挨着景福宫",人均 2 万韩元上下,,1h,,钟路区紫霞门路 5 街 5,,,,,,,,,
kr-seoul-food-003,通仁市场,통인시장,food,用铜钱买小吃的传统市场,在入口换一串铜钱当代币，拿着饭盒沿摊位夹菜，最后找个位置坐下吃——这个玩法本身就值得来一趟。,西村的社区市场，油炒年糕是招牌。铜钱便当（도시락 카페）周一休息。,"铜钱便当,西村,周一休",人均 1 万韩元上下,,1h,中午,钟路区紫霞门路 15 街 18,,,,,,,,,
kr-seoul-cafe-001,三清洞,삼청동,cafe,景福宫东侧的咖啡与画廊街,从北村走下来正好接上。老韩屋改的咖啡馆一家挨一家，坐一下午不会有人赶你。,沿三清洞街分布着画廊、独立书店和咖啡馆，往北接到北岳山脚下。,"咖啡馆,画廊,适合散步",,,2h,下午,钟路区三清路,,,,,,,,,
kr-seoul-cafe-002,圣水洞 · 首尔林,서울숲,cafe,旧厂房改出来的咖啡街区,首尔的布鲁克林。红砖厂房里开咖啡馆和买手店，工业感和精致感掺在一起，周末人很多。,原是制鞋和印刷工厂聚集区，近十年变成设计与咖啡的集散地。标记打在首尔林公园，咖啡馆主要在公园东北侧几条街上。,"工业风,潮流,周末人多",,,2.5h,下午,城东区圣水洞（首尔林一带）,,,,,,,,,
kr-seoul-night-001,弘大,홍대,night,年轻人和街头演出的地盘,周五周六晚上的步行街上有乐队和舞团轮番占位，看到天亮也有地方待。想感受首尔最吵的一面就来这儿。,以弘益大学为中心的商圈，livehouse、酒吧、夜店和小店密集，地铁 2 号线直达。,"夜生活,街头演出,热闹",,,,晚上,麻浦区西桥洞,,,,,,,,,
kr-seoul-night-002,梨泰院,이태원,night,各国餐馆和酒吧混在一条坡上,首尔最国际化的一片，中东菜、墨西哥菜、精酿都能找到。经理团路（경리단길）那一带更安静些。,紧邻龙山，historically 驻韩美军带起来的商圈，现在是外国人和本地年轻人混杂的夜生活区。,"异国餐厅,酒吧,坡道多",,,,晚上,龙山区梨泰院路,,,,,,,,,
kr-seoul-park-001,汝矣岛汉江公园,여의도한강공원,park,汉江边最适合躺一下午的一段,在便利店买泡面配炸鸡，坐在江边看日落——这是首尔人最日常的休息方式。四月樱花、夏天夜市。,汉江十一个公园里最热闹的一个，有游船码头、自行车道和水光广场喷泉。地铁 5 号线汝矣渡口站出来就是。,"江边,野餐,免费",,,2h,傍晚,永登浦区汝矣东路 330,,,,,,,,,
kr-seoul-park-002,骆山公园,낙산공원,park,沿着首尔城郭走的夜景步道,游客少、机位好。顺着城墙从惠化走到东大门，整个首尔的灯就在脚下铺开，不用买票也不用排队。,首尔城郭的一段建在骆山山脊上，旁边是梨花壁画村。夜里有照明，步道好走。,"城墙,夜景,免费",,,1.5h,日落后,钟路区栗谷路 19 街,,,,,,,,,
kr-seoul-shop-001,明洞,명동,shop,化妆品和街头小吃的主战场,第一次来首尔总要走一趟。美妆店密度全国第一，晚上街中央全是小吃车。想买东西效率最高的地方。,中区的核心商圈，地铁 4 号线明洞站和 2 号线乙支路入口站都到。免税店和百货就在旁边。,"美妆,小吃车,人非常多",,,2h,傍晚,中区明洞街,,,,,,,,,
