id,name,query,category,summary,why,desc,tags,price,hours,duration,bestTime,address,lng,lat,zoom,country,basemap,cover,region,nameEn,tagline
__city__,济州岛,,,坐标为 WGS-84（由 scripts/geocode.py 经 OpenStreetMap Nominatim 查得）。韩国这边高德没有地图数据，默认用 OSM 底图。营业时间、票价一类信息会变，出门前请再确认。 济州岛东西跨度约 70 公里，点位分散，租车或包车最方便。,,,,,,,,,126.531188,33.499621,11,kr,osm,🍊,济州特别自治道,Jeju,火山、黑猪肉和一圈开不完的海岸线
kr-jeju-sight-001,城山日出峰,성산일출봉,sight,海上火山口，济州的招牌,从海底喷发堆起来的巨大火山口，边缘像一圈王冠。爬到顶约半小时，日出时分是名字的由来。,世界自然遗产，标高 182 米。山下的海女表演一天两场。台阶陡但路好走。,"世界遗产,需购票,爬山半小时",,,2h,清晨,西归浦市城山邑日出路 284-12,,,,,,,,,
kr-jeju-sight-002,汉拿山,한라산,sight,韩国最高峰，济州岛本身,整座岛其实就是这座火山。爬到白鹿潭要一整天且需预约，只想看看的话走御里牧或灵室路线半天就够。,海拔 1947 米，国立公园。主要登山口有城板岳、观音寺、御里牧、灵室四条路线，下午有清场时间。,"登山,需预约,量力而行",,,半天到一天,上午出发,济州特别自治道汉拿山国立公园,,,,,,,,,
kr-jeju-sight-003,涉地可支,섭지코지,sight,伸进海里的那道草坡,草地、黑色火山岩、白色灯塔和风。走一圈四十分钟，是济州最不费力就能拍到好照片的地方。,城山附近的海岬，韩剧取景地。旁边有安藤忠雄设计的 Glass House 和 Genius Loci。,"海岬,草地,免费",,,1.5h,,西归浦市城山邑涉地可支路,,,,,,,,,
kr-jeju-sight-004,万丈窟,만장굴,sight,能走进去的熔岩洞,世界上规模最大的熔岩洞之一，开放段一公里，尽头是七米多高的熔岩石柱。洞里常年 11 度左右，夏天避暑。,世界自然遗产，地面湿滑要穿防滑鞋。开放一段约往返一小时。,"熔岩洞,世界遗产,洞内凉",,,1.5h,,济州市旧左邑万丈窟路 182,,,,,,,,,
kr-jeju-sight-005,天地渊瀑布,천지연폭포,sight,西归浦市区旁的瀑布,从停车场走十分钟就到，几乎不费力。晚上有照明，夏天夜里来比白天舒服。,落差 22 米，周围是暖带林保护区。和正房瀑布、天帝渊瀑布并称济州三大瀑布。,"瀑布,好走,夜间有灯",,,1h,,西归浦市天池洞,,,,,,,,,
kr-jeju-sight-006,正房瀑布,정방폭포,sight,直接落进海里的瀑布,亚洲少有的直接入海瀑布，站在礁石上能感觉到水汽。要下一段台阶，上来有点费劲。,落差 23 米，就在西归浦港东侧。和天地渊走路可达。,"瀑布入海,需购票,台阶多",,,1h,,西归浦市七十里路 214 号街 37,,,,,,,,,
kr-jeju-sight-007,牛岛,우도,sight,岛外之岛，骑车绕一圈,从城山港坐十五分钟船。岛上租电动车或自行车绕一圈约两小时，白沙滩和黑牛是标配。,面积约 6 平方公里的离岛，有白沙海水浴场和牛岛峰。船班受天气影响，风大会停航。,"离岛,需坐船,可骑车环岛",,,半天,,济州市牛岛面,,,,,,,,,
kr-jeju-sight-008,山房山,산방산,sight,南岸拔地而起的钟形山,山腰的山房窟寺是海蚀洞改的，从洞口往外看正对着大海和龙头海岸。整座山从远处看像扣着的钟。,标高 395 米的溶岩穹丘，不能登顶，游览山房窟寺需买票。旁边就是龙头海岸。,"火山地貌,需购票,风景好",,,1.5h,,西归浦市安德面山房路 218-10,,,,,,,,,
kr-jeju-sight-009,龙头岩,제주 용두암,sight,济州市区边上的龙形礁石,刚下飞机或临走前顺路看一眼正合适，离机场十分钟车程。傍晚有海女在旁边卖刚捞的海鲜。,熔岩冷却形成的礁石，形似龙头。免费开放，沿海岸有步道。,"免费,挨着机场,顺路",,,0.5h,傍晚,济州市龙潭一洞,,,,,,,,,
kr-jeju-park-001,挟才海水浴场,협재해수욕장,park,能看到飞扬岛的翡翠色海滩,济州最上镜的一片海：水浅、沙白、正对飞扬岛。退潮时能走出去很远。,在西岸翰林邑，旁边是金宁松林。夏天有遮阳棚出租，停车位紧张。,"海滩,水浅,看飞扬岛",,,2h,下午,济州市翰林邑挟才里,,,,,,,,,
kr-jeju-food-001,东门市场,동문시장,food,济州市区最热闹的传统市场,黑猪肉、刚捞的海鲜、汉拿峰橘子都在这儿。晚上的夜市小吃摊是重点，别吃太饱再来。,济州市最老的常设市场，1945 年开市。生鲜、干货和小吃都有，夜市营业到晚上十点左右。,"市场,夜市,水果",人均 1~2 万韩元,,1.5h,傍晚,济州市观德路 14 号街 20,,,,,,,,,
kr-jeju-food-002,黑猪肉一条街,흑돼지거리,food,济州黑猪的主场,厚切五花在炭火上烤到焦边，蘸豆酱包生菜——济州黑猪的油脂比普通猪肉香，值得专门吃一顿。,在济州市健入洞一带，一条街几十家烤肉店。人均比首尔便宜，晚上排队常见。,"烤肉,黑猪,晚上排队",人均 2~3 万韩元,,1.5h,晚上,济州市健入洞,,,,,,,,,
kr-jeju-cafe-001,오설록 茶博物馆,오설록티뮤지엄,cafe,绿茶田中间的茶馆,大片绿茶田加一间茶室，绿茶冰淇淋和绿茶蛋糕是招牌。免费进，位置偏但顺路去山房山方向。,韩国最大的绿茶品牌建的博物馆，隔壁是 Innisfree 的体验馆，周围是茶园。,"茶园,免费入场,适合拍照",,,1.5h,,西归浦市安德面神话历史路 15,,,,,,,,,
kr-jeju-airport-001,济州国际机场,제주국제공항,airport,进出济州岛唯一的门户,韩国最繁忙的国内航线终点。机场到济州市区十分钟，到西归浦约一小时。租车柜台都在机场附近。,岛上唯一机场，国内航班密集，国际航班较少。旺季航班常受大风影响。,"机场,租车点集中",,,,,济州市机场路 2,,,,,,,,,
kr-jeju-station-001,济州港沿岸客运码头,제주항연안여객터미널,station,岛上唯一的对外港口,济州岛没有铁路，进出岛只有飞机和船。去木浦、釜山、莞岛的渡轮从这里发，带车上岛也走这里。,济州市北岸的客运码头，离市区十分钟车程。去牛岛的船不在这里，要去东边的城山港。,"渡轮,无铁路,带车上岛",,,,,济州市临港路,,,,,,,,,
